id,surface,file,line,original,human_rewrite,ref_handling
P1,push:ladder shadow,notify/telegram_bot.py,1555,"🪜 SPEC-108 ladder shadow / Stage 1 shadow only — no production order was placed.","🪜 Ladder 分层建仓 · 模拟入场记录（纸面） / 仅模拟记录——未下任何真实单。",SPEC-108 从主文案删除（代码注释保留）
P2,push:ladder v1b shadow,notify/telegram_bot.py,1569,"🪜 SPEC-108.1 V1b ladder shadow (Wed) / V1b parallel shadow (weekly Wed anchor) — no production order was placed.","🪜 Ladder 周三锚定版 · 模拟入场记录（纸面） / 周三锚定并行模拟——未下任何真实单。",SPEC-108.1 删除；V1b 保留为尾注（研究溯源标识）
P3,push:ladder shadow title,notify/telegram_bot.py,1601,"V1b ladder shadow 记录","Ladder 周三锚定版 shadow 记录",V1b 移入正文尾注
P4,push:ES credit stop,notify/telegram_bot.py,355,"SPEC-061 credit stop line breached. Consider closing immediately.","Credit stop（权利金止损线）已突破——建议立即平仓。",SPEC-061 删除
P5,push:ES HV paper signal,notify/telegram_bot.py,474,"Research-only / paper-only per SPEC-104. NO PRODUCTION EXECUTION.","纸面研究信号——不会下任何真实单。",SPEC-104 删除
P6,push:broker mismatch,notify/telegram_bot.py,683,"Run /opened to register, or /sync to auto-import (after SPEC-100).","Run /opened to register, or /sync to auto-import.",(after SPEC-100) 删除
P7,push:digest 持仓行,notify/telegram_bot.py,1684,"持仓 <id>（bull_call_diagonal · 10d）","持仓 <id>（Bull Call Diagonal · 还剩 10 天）",strategy_descriptor(key).name = label_human 单源；无语义 10d → 还剩 10 天
P8,push:digest 治理行,notify/telegram_bot.py,1697,"BCD: halted（待 PM 复审）/ BCD: normal","Bull Call Diagonal（BCD）：已暂停开新仓（待 PM 复审）/ BCD（Bull Call Diagonal）：正常",BCD 首次出现全称括注
P9,push:digest quote-gate,notify/telegram_bot.py,1700,"quote-gate 3/10","BCD 真实报价已积累 3/10 天（满 10 天才评估重开）",分子分母语义补全
P10,push:governance decision,notify/telegram_bot.py,1527,"Layer: <n> <name>","Rule: <name>（第 <n> 优先层）",层号降级为括注
P11,push:EOD morning label,notify/telegram_bot.py,726,"Morning → REDUCE_WAIT / EOD → WAIT REDUCE_WAIT","Morning → NO ENTRY / EOD → NO ENTRY",裸 strategy_key 大写 → 词表 NO ENTRY + descriptor 名
P12,push:intraday 状态损坏,strategy/intraday_governance.py,358,"🚨 SPEC-107 state corruption — falling back to raw selector / WAIT-safe governance.","🚨 盘中治理状态文件损坏——已回退安全模式（按原始信号 + 保守不动作处理）。",SPEC-107 删除；WAIT 词表违规修复
P13,push:intraday config override,strategy/intraday_governance.py,361,"⚠️ SPEC-107 config override: INTRADAY_HYS_LOWER_FORCE_CLOSE is not True. Q077 approval required.","⚠️ 盘中治理配置被改动：强制平仓开关（INTRADAY_HYS_LOWER_FORCE_CLOSE）未开——此改动需走预注册审批。",SPEC-107/Q077 删除；flag 名保留（操作标识）
P14,push:sleeve cash alert,strategy/sleeve_governance.py,1174,"⚠️ Debit cash-utilization alert (SPEC-111)","⚠️ Debit 策略现金占用预警",SPEC-111 删除
P15,push:cash review triggers,strategy/cash_budget_governance.py,539;560,"per SPEC-111 复审 §5.4:提请人工复审,不自动改参数。","按预注册复审规则：提请人工复审，系统不自动改参数。",SPEC-111 §5.4 删除
P16,push:Q042 trigger,production/q042_executor.py,108;118,"title Q042 Drawdown Overlay 触发 / 🟢 Q042 [Sleeve A] | SPX","title Drawdown Overlay（回撤加仓）触发 / 🟢 Drawdown Overlay [Sleeve A] · SPX",Q042 删除（nav 已用 DD Overlay 名）
